params	results
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.6791666666666667
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.6541666666666667
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.6666666666666666
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.6458333333333334
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.6458333333333334
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.6833333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.6958333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.6916666666666667
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.6708333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.675
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.6583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.6958333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.7125
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 7}	0.7208333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 8}	0.7333333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 9}	0.7208333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 10}	0.7125
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 5}	0.6708333333333333
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 6}	0.675
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 7}	0.675
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 8}	0.65
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 9}	0.6708333333333333
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 10}	0.6666666666666666
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 5}	0.6958333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 6}	0.6791666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 7}	0.7083333333333334
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 8}	0.6916666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 9}	0.6916666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 10}	0.7041666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 5}	0.7125
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 6}	0.7125
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 7}	0.7041666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 8}	0.7083333333333334
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 9}	0.7166666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 10}	0.7
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 5}	0.7041666666666667
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 6}	0.6916666666666667
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 7}	0.675
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 8}	0.675
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 9}	0.65
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 10}	0.6708333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 5}	0.6791666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 6}	0.675
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 7}	0.6916666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 8}	0.6708333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 9}	0.6791666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 10}	0.6833333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 5}	0.7083333333333334
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 6}	0.6916666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 7}	0.7041666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 8}	0.6875
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 9}	0.7166666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 10}	0.7
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 5}	0.675
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 6}	0.6875
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 7}	0.6875
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 8}	0.6666666666666666
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 9}	0.6541666666666667
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 10}	0.6458333333333334
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 5}	0.6666666666666666
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 6}	0.6791666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 7}	0.7041666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 8}	0.6916666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 9}	0.7041666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 10}	0.6916666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 5}	0.7083333333333334
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 6}	0.7208333333333333
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 7}	0.6791666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 8}	0.6875
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 9}	0.675
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 10}	0.6916666666666667
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 5}	0.675
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 6}	0.6625
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 7}	0.675
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 8}	0.6458333333333334
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 9}	0.6291666666666667
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 10}	0.6375
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 5}	0.675
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 6}	0.6958333333333333
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 7}	0.6958333333333333
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 8}	0.7
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 9}	0.6791666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 10}	0.6833333333333333
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 5}	0.7208333333333333
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 6}	0.725
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 7}	0.7
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 8}	0.7083333333333334
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 9}	0.7416666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 10}	0.7125
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 5}	0.6833333333333333
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 6}	0.6541666666666667
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 7}	0.6875
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 8}	0.6708333333333333
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 9}	0.6625
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 10}	0.65
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 5}	0.6875
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 6}	0.6833333333333333
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 7}	0.6958333333333333
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 8}	0.6916666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 9}	0.675
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 10}	0.6875
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 5}	0.7
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 6}	0.7166666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 7}	0.7041666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 8}	0.725
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 9}	0.7041666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 10}	0.7166666666666667
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 5}	0.675
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 6}	0.6666666666666666
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 7}	0.6625
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 8}	0.65
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 9}	0.6416666666666667
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 10}	0.6791666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 5}	0.6833333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 6}	0.7125
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 7}	0.725
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 8}	0.7166666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 9}	0.7041666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 10}	0.7041666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 5}	0.6958333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 6}	0.6791666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 7}	0.6791666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 8}	0.6958333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 9}	0.6875
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 10}	0.6875
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 5}	0.675
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 6}	0.6708333333333333
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 7}	0.6666666666666666
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 8}	0.6458333333333334
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 9}	0.6708333333333333
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 10}	0.6541666666666667
