params	results
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 5}	0.7458333333333333
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.7458333333333333
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.7541666666666667
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.75
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.7416666666666667
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.7458333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.7666666666666667
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.7458333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.7625
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.7375
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.7666666666666667
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.7416666666666667
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 7}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 8}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 9}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 10}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 5}	0.7416666666666667
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 6}	0.75
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 7}	0.7458333333333333
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 8}	0.7416666666666667
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 9}	0.7583333333333333
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 10}	0.7458333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 5}	0.7375
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 6}	0.7291666666666666
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 7}	0.7458333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 8}	0.7375
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 9}	0.7333333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 10}	0.7208333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 5}	0.7541666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 6}	0.75
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 7}	0.7583333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 8}	0.7416666666666667
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 9}	0.7458333333333333
{'B': 400, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 10}	0.7416666666666667
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 5}	0.75
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 6}	0.7458333333333333
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 7}	0.7458333333333333
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 8}	0.7375
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 9}	0.7416666666666667
{'B': 400, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 10}	0.7375
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 5}	0.7625
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 6}	0.7791666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 7}	0.7583333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 8}	0.75
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 9}	0.7458333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 10}	0.7375
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 5}	0.75
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 6}	0.7458333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 7}	0.7541666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 8}	0.7416666666666667
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 9}	0.7458333333333333
{'B': 400, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 10}	0.7541666666666667
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 5}	0.7541666666666667
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 6}	0.7375
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 7}	0.7625
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 8}	0.7666666666666667
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 9}	0.7666666666666667
{'B': 400, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 10}	0.7541666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 5}	0.7541666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 6}	0.7458333333333333
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 7}	0.7416666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 8}	0.75
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 9}	0.75
{'B': 400, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 10}	0.7375
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 5}	0.7458333333333333
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 6}	0.7583333333333333
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 7}	0.7541666666666667
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 8}	0.7625
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 9}	0.7583333333333333
{'B': 400, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 10}	0.7416666666666667
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 5}	0.7458333333333333
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 6}	0.7416666666666667
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 7}	0.7666666666666667
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 8}	0.7583333333333333
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 9}	0.7458333333333333
{'B': 400, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 10}	0.7416666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 5}	0.75
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 6}	0.7625
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 7}	0.7458333333333333
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 8}	0.7541666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 9}	0.725
{'B': 400, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 10}	0.75
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 5}	0.75
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 6}	0.7625
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 7}	0.7666666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 8}	0.7541666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 9}	0.7541666666666667
{'B': 400, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 10}	0.7625
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 5}	0.7375
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 6}	0.7291666666666666
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 7}	0.7541666666666667
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 8}	0.7583333333333333
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 9}	0.7541666666666667
{'B': 400, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 10}	0.7375
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 5}	0.7541666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 6}	0.7583333333333333
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 7}	0.7625
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 8}	0.7666666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 9}	0.7541666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 10}	0.7666666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 5}	0.7583333333333333
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 6}	0.7666666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 7}	0.7541666666666667
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 8}	0.7708333333333334
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 9}	0.7458333333333333
{'B': 400, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 10}	0.7416666666666667
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 5}	0.7541666666666667
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 6}	0.7458333333333333
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 7}	0.7625
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 8}	0.7333333333333333
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 9}	0.7458333333333333
{'B': 400, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 10}	0.7458333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 5}	0.7583333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 6}	0.7416666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 7}	0.7208333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 8}	0.75
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 9}	0.7541666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 10}	0.75
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 5}	0.7458333333333333
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 6}	0.7541666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 7}	0.7625
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 8}	0.7541666666666667
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 9}	0.7625
{'B': 400, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 10}	0.7625
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 5}	0.7458333333333333
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 6}	0.7541666666666667
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 7}	0.7458333333333333
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 8}	0.7375
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 9}	0.7333333333333333
{'B': 400, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 10}	0.7375
